Source,Target,Weight
Beth,Davin,2
Beth,Jerry,12
Beth,Morty,1
Beth,Principal V.,2
Beth,Rick,6
Beth,Summer,1
Beth,Tom,1
Davin,Beth,2
Frank,Morty,3
Jerry,Beth,19
Jerry,Morty,4
Jerry,Rick,6
Jerry,Summer,2
Jessica,Morty,2
Morty,Beth,2
Morty,Frank,2
Morty,Jerry,3
Morty,Jessica,2
Morty,Mr. Goldenfold,3
Morty,Rick,48
Mr. Goldenfold,Morty,4
Principal V.,Beth,4
Principal V.,Jerry,3
Rick,Beth,8
Rick,Jerry,8
Rick,Jessica,1
Rick,Morty,68
Rick,Summer,2
Summer,Beth,3
Summer,Frank,1
Summer,Jerry,2
Summer,Morty,2
Summer,Rick,3
Tom,Beth,5
